site,plot_id,plot,genet_id,T1_spring,T2_fall,change,status,action,split_fuse,include
Outlet,OT3,OT_3,22,55.39,68.76,13.37,grew,grow,none,OK
Outlet,OT3,OT_3,27,55.22,60.53,5.31,grew,grow,none,OK
Outlet,OT3,OT_3,29,43.78,90.9,47.12,grew,grow,fuse,fuse
Outlet,OT3,OT_3,29,31.9,90.9,59,grew,grow,fuse,fuse
Outlet,OT3,OT_3,32,12.9,23.23,10.33,grew,grow,none,OK
Outlet,OT3,OT_3,35,68.69,77.68,8.99,grew,grow,none,OK
Outlet,OT3,OT_3,38,64.98,77.75,12.77,grew,grow,none,OK
Outlet,OT3,OT_3,41,74.87,97.86,22.99,grew,grow,none,OK
Outlet,OT3,OT_3,42,16.87,28.85,11.98,grew,grow,none,OK
Outlet,OT3,OT_3,43,55.42,67.97,12.55,grew,grow,none,OK
Outlet,OT3,OT_3,45,78.78,90.2,11.42,grew,grow,none,OK
Outlet,OT3,OT_3,46,35.51,48.46,12.95,grew,grow,n/s,OK
Outlet,OT3,OT_3,47,72.54,97.43,24.89,grew,grow,none,OK
Outlet,OT3,OT_3,48,26.53,33.58,7.05,grew,grow,none,OK
Outlet,OT3,OT_3,49,20.1,24.75,4.65,grew,grow,none,OK
Outlet,OT3,OT_3,50,79.53,89.29,9.76,grew,grow,none,OK
Outlet,OT3,OT_3,51,115.99,145.51,29.52,grew,grow,none,OK
Outlet,OT3,OT_3,53,40.85,69.52,28.67,grew,grow,fuse,fuse
Outlet,OT3,OT_3,53,9.2,69.52,60.32,grew,grow,fuse,fuse
Outlet,OT3,OT_3,54,35.08,41.96,6.88,grew,grow,none,OK
Outlet,OT3,OT_3,55,11.75,16.44,4.69,grew,grow,n/s,OK
Outlet,OT3,OT_3,56,28.81,34.15,5.34,grew,grow,n/s,OK
Outlet,OT3,OT_3,57,6.77,24.34,17.57,grew,grow,none,OK
Outlet,OT3,OT_3,60,42.57,61.69,19.12,grew,grow,none,OK
Outlet,OT3,OT_3,61,99.13,111.48,12.35,grew,grow,none,OK
Outlet,OT3,OT_3,62,18.06,30.26,12.2,grew,grow,none,OK
Outlet,OT3,OT_3,64,3.36,6.22,2.86,grew,grow,none,OK
Outlet,OT3,OT_3,65,1.17,2.77,1.6,grew,grow,none,OK
Outlet,OT3,OT_3,66,65.47,82.03,16.56,grew,grow,none,OK
Outlet,OT3,OT_3,68,10.95,24.99,14.04,grew,grow,none,OK
Outlet,OT3,OT_3,70,8.55,19.41,10.86,grew,grow,none,OK
Outlet,OT3,OT_3,71,31,36.22,5.22,grew,grow,none,OK
Outlet,OT3,OT_3,0,60.65,61.1,0.45,grew,same,none,OK
Outlet,OT3,OT_3,2,70.79,73.36,2.57,grew,same,none,OK
Outlet,OT3,OT_3,3,146.81,145.33,-1.48,shrank,same,none,OK
Outlet,OT3,OT_3,4,88.48,84.64,-3.84,shrank,same,none,OK
Outlet,OT3,OT_3,5,114.77,110.98,-3.79,shrank,same,none,OK
Outlet,OT3,OT_3,9,18.96,18.91,-0.05,shrank,same,none,OK
Outlet,OT3,OT_3,10,95.59,91.49,-4.1,shrank,same,none,OK
Outlet,OT3,OT_3,30,64.06,64.17,0.11,grew,same,none,OK
Outlet,OT3,OT_3,31,113.27,110.04,-3.23,shrank,same,none,OK
Outlet,OT3,OT_3,33,110.69,106.57,-4.12,shrank,same,none,OK
Outlet,OT3,OT_3,37,75.8,78.37,2.57,grew,same,none,OK
Outlet,OT3,OT_3,44,118.48,121.09,2.61,grew,same,none,OK
Outlet,OT3,OT_3,52,148.9,151.64,2.74,grew,same,none,OK
Outlet,OT3,OT_3,58,50.86,50.97,0.11,grew,same,none,OK
Outlet,OT3,OT_3,7,84.22,47.25,-36.97,shrank,shrink,none,OK
Outlet,OT3,OT_3,13,32.55,26.14,-6.41,shrank,shrink,none,OK
Outlet,OT3,OT_3,23,94.53,82.42,-12.11,shrank,shrink,none,OK
Outlet,OT3,OT_3,24,90.46,77.38,-13.08,shrank,shrink,none,OK
Outlet,OT3,OT_3,25,69.84,44.93,-24.91,shrank,shrink,none,OK
Outlet,OT3,OT_3,34,15.42,9.98,-5.44,shrank,shrink,none,OK
Outlet,OT3,OT_3,59,75.11,45.67,-29.44,shrank,shrink,none,OK
Outlet,OT3,OT_3,63,19.7,15.42,-4.28,shrank,shrink,none,OK
Outlet,OT3,OT_3,67,44.66,38.69,-5.97,shrank,shrink,none,OK
Outlet,OT3,OT_3,69,11.08,7.88,-3.2,shrank,shrink,none,OK
Inlet,IT1,IT_4,0,76.67,92.26,15.59,grew,grow,n/s,OK
Inlet,IT1,IT_4,1,18.93,34.09,15.16,grew,grow,n/s,OK
Inlet,IT1,IT_4,2,61.06,71.09,10.03,grew,grow,n/s,OK
Inlet,IT1,IT_4,3,80.67,97.11,16.44,grew,grow,n/s,OK
Inlet,IT1,IT_4,4,46.02,67.48,21.46,grew,grow,n/s,OK
Inlet,IT1,IT_4,5,4.32,8.7,4.38,grew,grow,n/s,OK
Inlet,IT1,IT_4,6,4.28,9.74,5.46,grew,grow,n/s,OK
Inlet,IT1,IT_4,7,149.52,176.62,27.1,grew,grow,n/s,OK
Inlet,IT2,IT_3,0,23.57,29.94,6.37,grew,grow,n/s,OK
Inlet,IT2,IT_3,1,55.53,75.5,19.97,grew,grow,none,OK
Inlet,IT2,IT_3,8,13.54,26.95,13.41,grew,grow,n/s,OK
Inlet,IT2,IT_3,9,18.42,25.65,7.23,grew,grow,n/s,OK
Inlet,IT2,IT_3,11,40.21,43.21,3,grew,grow,n/s,OK
Inlet,IT2,IT_3,12,158.41,203.73,45.32,grew,grow,none,OK
Inlet,IT2,IT_3,14,6.46,12.31,5.85,grew,grow,none,OK
Inlet,IT2,IT_3,15,4.06,5.04,0.98,grew,grow,n/s,OK
Inlet,IT2,IT_3,17,10.61,23.25,12.64,grew,grow,n/s,OK
Inlet,IT2,IT_3,19,36.43,51.94,15.51,grew,grow,none,OK
Inlet,IT2,IT_3,22,21.98,46.33,24.35,grew,grow,none,OK
Inlet,IT2,IT_3,23,7.16,19.54,12.38,grew,grow,none,OK
Inlet,IT2,IT_3,25,5.55,7.97,2.42,grew,grow,none,OK
Inlet,IT2,IT_3,28,29.87,42.71,12.84,grew,grow,none,OK
Inlet,IT2,IT_3,31,45.64,61.78,16.14,grew,grow,n/s,OK
Inlet,IT2,IT_3,37,42.46,63.51,21.05,grew,grow,none,OK
Inlet,IT2,IT_3,38,14.41,35.58,21.17,grew,grow,none,OK
Inlet,IT2,IT_3,40,31.48,36.85,5.37,grew,grow,n/s,OK
Inlet,IT2,IT_3,44,20.08,28.82,8.74,grew,grow,none,OK
Inlet,IT2,IT_3,46,4.15,6.41,2.26,grew,grow,none,OK
Inlet,IT2,IT_3,49,88.18,109.09,20.91,grew,grow,none,OK
Inlet,IT2,IT_3,50,5.73,11.68,5.95,grew,grow,n/s,OK
Inlet,IT2,IT_3,53,59.47,64.24,4.77,grew,grow,none,OK
Inlet,IT2,IT_3,54,35.51,45.4,9.89,grew,grow,none,OK
Inlet,IT2,IT_3,56,14.94,29.24,14.3,grew,grow,n/s,OK
Inlet,IT2,IT_3,57,21.18,28.23,7.05,grew,grow,n/s,OK
Inlet,IT2,IT_3,60,29.15,45.48,16.33,grew,grow,n/s,OK
Inlet,IT2,IT_3,61,109.57,125.44,15.87,grew,grow,none,OK
Inlet,IT2,IT_3,63,85.52,118.27,32.75,grew,grow,none,OK
