day_night,DateTime,lux,PAR,site
night,2023-07-16 19:40:00 UTC,0,0,Outlet
night,2023-07-16 19:50:00 UTC,0,0,Outlet
night,2023-07-16 20:00:00 UTC,0,0,Outlet
night,2023-07-16 20:10:00 UTC,0,0,Outlet
night,2023-07-16 20:20:00 UTC,0,0,Outlet
night,2023-07-16 20:30:00 UTC,0,0,Outlet
night,2023-07-16 20:40:00 UTC,0,0,Outlet
night,2023-07-16 20:50:00 UTC,0,0,Outlet
night,2023-07-16 21:00:00 UTC,0,0,Outlet
night,2023-07-16 21:10:00 UTC,0,0,Outlet
night,2023-07-16 21:20:00 UTC,0,0,Outlet
night,2023-07-16 21:30:00 UTC,0,0,Outlet
night,2023-07-16 21:40:00 UTC,0,0,Outlet
night,2023-07-16 21:50:00 UTC,0,0,Outlet
night,2023-07-16 22:00:00 UTC,0,0,Outlet
night,2023-07-16 22:10:00 UTC,0,0,Outlet
night,2023-07-16 22:20:00 UTC,0,0,Outlet
night,2023-07-16 22:30:00 UTC,0,0,Outlet
night,2023-07-16 22:40:00 UTC,0,0,Outlet
night,2023-07-16 22:50:00 UTC,0,0,Outlet
night,2023-07-16 23:00:00 UTC,0,0,Outlet
night,2023-07-16 23:10:00 UTC,0,0,Outlet
night,2023-07-16 23:20:00 UTC,0,0,Outlet
night,2023-07-16 23:30:00 UTC,0,0,Outlet
night,2023-07-16 23:40:00 UTC,0,0,Outlet
night,2023-07-16 23:50:00 UTC,0,0,Outlet
night,2023-07-17 00:00:00 UTC,0,0,Outlet
night,2023-07-17 00:10:00 UTC,0,0,Outlet
night,2023-07-17 00:20:00 UTC,0,0,Outlet
night,2023-07-17 00:30:00 UTC,0,0,Outlet
night,2023-07-17 00:40:00 UTC,0,0,Outlet
night,2023-07-17 00:50:00 UTC,0,0,Outlet
night,2023-07-17 01:00:00 UTC,0,0,Outlet
night,2023-07-17 01:10:00 UTC,0,0,Outlet
night,2023-07-17 01:20:00 UTC,0,0,Outlet
night,2023-07-17 01:30:00 UTC,0,0,Outlet
night,2023-07-17 01:40:00 UTC,0,0,Outlet
night,2023-07-17 01:50:00 UTC,0,0,Outlet
night,2023-07-17 02:00:00 UTC,0,0,Outlet
night,2023-07-17 02:10:00 UTC,0,0,Outlet
night,2023-07-17 02:20:00 UTC,0,0,Outlet
night,2023-07-17 02:30:00 UTC,0,0,Outlet
