site,plot_id,plot,genet_id,bleach_cat
IT,IT2,IT_3,100,3
IT,IT2,IT_3,178,3
IT,IT2,IT_3,109,4
IT,IT2,IT_3,110,4
IT,IT2,IT_3,160,3
IT,IT2,IT_3,181,3
IT,IT2,IT_3,141,3
IT,IT3,IT_1,0,1
IT,IT3,IT_1,2,2
IT,IT3,IT_1,6,2
IT,IT3,IT_1,7,2
IT,IT3,IT_1,8,1
IT,IT3,IT_1,45,2
IT,IT3,IT_1,46,4
IT,IT3,IT_1,44,2
IT,IT3,IT_1,43,2
IT,IT3,IT_1,47,2
IT,IT3,IT_1,48,2
IT,IT3,IT_1,49,2
IT,IT3,IT_1,57,3
IT,IT3,IT_1,11,2
IT,IT3,IT_1,10,3
IT,IT3,IT_1,9,2
IT,IT3,IT_1,58,2
IT,IT3,IT_1,33,2
IT,IT3,IT_1,55,2
IT,IT3,IT_1,50,2
IT,IT3,IT_1,29,2
IT,IT3,IT_1,28,1
IT,IT3,IT_1,56,2
IT,IT3,IT_1,59,2
IT,IT3,IT_1,60,3
IT,IT3,IT_1,61,2
IT,IT3,IT_1,34,2
IT,IT3,IT_1,62,3
HK,HK1,HK_1,12,2
HK,HK1,HK_1,18,3
HK,HK1,HK_1,0,2
HK,HK1,HK_1,1,2
HK,HK1,HK_1,10,1
HK,HK1,HK_1,17,2
HK,HK1,HK_1,19,4
HK,HK1,HK_1,7,2
HK,HK1,HK_1,20,3
HK,HK1,HK_1,3,3
HK,HK1,HK_1,13,2
HK,HK1,HK_1,11,2
HK,HK1,HK_1,14,2
HK,HK1,HK_1,4,3
HK,HK1,HK_1,5,2
HK,HK1,HK_1,6,3
HK,HK1,HK_1,15,2
HK,HK1,HK_1,21,2
HK,HK1,HK_1,22,3
HK,HK1,HK_1,8,1
HK,HK1,HK_1,16,2
HK,HK2,HK_2,35,3
HK,HK2,HK_2,30,3
HK,HK2,HK_2,25,3
HK,HK2,HK_2,26,3
HK,HK2,HK_2,29,3
HK,HK2,HK_2,116,3
HK,HK2,HK_2,49,2
HK,HK2,HK_2,50,3
HK,HK2,HK_2,64,2
HK,HK2,HK_2,51,3
HK,HK2,HK_2,62,1
HK,HK2,HK_2,59,1
HK,HK2,HK_2,119,1
HK,HK2,HK_2,57,2
HK,HK2,HK_2,58,2
HK,HK2,HK_2,52,2
HK,HK2,HK_2,56,2
HK,HK2,HK_2,54,2
HK,HK2,HK_2,60,3
HK,HK2,HK_2,17,2
HK,HK2,HK_2,123,2
HK,HK2,HK_2,20,2
HK,HK2,HK_2,19,1
HK,HK2,HK_2,22,2
HK,HK2,HK_2,23,2
HK,HK2,HK_2,24,2
HK,HK2,HK_2,13,2
HK,HK2,HK_2,68,1
HK,HK2,HK_2,67,2
HK,HK2,HK_2,55,3
HK,HK3,HK_3,4,2
HK,HK3,HK_3,37,3
HK,HK3,HK_3,6,3
HK,HK3,HK_3,38,3
HK,HK3,HK_3,10,2
HK,HK3,HK_3,12,3
HK,HK3,HK_3,13,4
HK,HK3,HK_3,19,3
HK,HK3,HK_3,39,3
HK,HK3,HK_3,40,3
HK,HK3,HK_3,41,3
HK,HK3,HK_3,42,4
HK,HK3,HK_3,33,2
HK,HK3,HK_3,43,3
HK,HK3,HK_3,24,2
HK,HK3,HK_3,44,3
HK,HK3,HK_3,25,3
HK,HK3,HK_3,45,2
HK,HK3,HK_3,26,2
HK,HK3,HK_3,27,2
HK,HK3,HK_3,34,2
HK,HK3,HK_3,29,2
HK,HK3,HK_3,30,3
HK,HK3,HK_3,31,3
HK,HK3,HK_3,35,3
HK,HK3,HK_3,35,3
HK,HK3,HK_3,36,3
HK,HK3,HK_3,46,3
